id,name
1068,"""Арсенал ПГИ"" Романовка	"
70,1.ЛФК Петергоф
269,19-й Район
334,6 Гигов
1071,7days
1221,9-ый Легион
1014,AC BAKURUS
665,AFC Kalmar
1384,Afc Roma
1481,ALEX FITNESS
471,Am2kredit
235,Aquamarine
1165,BAKURUS
532,BESTCAPPER-Кронштадт
958,BLANCOS
980,Body Store
903,BSH
1434,Buffalo
1168,CABJ
1273,CITY LADS
1153,COMEBACK
1412,Comendana streets
1226,Couch Band
176,Crystal Palace
98,Cтандарт
296,Desperados
366,Diamond
1072,ElSig
376,FC BEST
324,FC Kanaras
370,Fc Phoenix
1508,FC Piterška Žvežđa
1462,FC Qrolik
1555,FC Titan
1473,FC Феникс
817,Fenix
148,FRT-United
1015,Georgia
378,Ginza Project
215,Golden Lions
352,Grand Unior
185,Grant
688,IKEA
168,Inter
1550,IPC
1080,Iridato
1464,Iron Legs
1480,ISLANDERS
278,Jesus
634,JTI Петро
1418,KASABIAN
1283,Lecom
1012,Lecom 2
913,Leeds United
385,MaD LiFe
343,Mazda Team
973,McDonald’s
811,Metro C&C
1230,Old School 
149,PHGP
337,Piter Style
354,Pro Street
1166,PS
1073,PureWater
1148,Red Town
305,ROLF
213,Russian Travel Guide TV
991,Smile
1504,Snow Kids United
351,STDK
285,Supreme
1479,TAXI5M
281,Titanium
1401,TMP
1152,ULTRAS
972,UMedia Сервис
295,UZ
918,UZB
1419,VGIK
162,Violet
1233,White Smoke
1467,Work & Sport
433,Young Бугры
347,Авантюрист
812,АвтоТрансИнфо
178,АВШ
690,Адамант
640,Администрация Кировского Района
588,Адмиралтеец
677,Адмиралтейские верфи
219,Академика
609,Академка
220,Аква Меню
209,Акрон
1422,Алания
682,Альфа
965,Альянс
236,Альянс Норд
909,Аманат
323,Амигос
976,Амстердам
251,АНГАРД
1003,Ангелболл
916,Антарес
279,Антей
662,Арктик Телеком
1009,Армейцы с Невы
966,АСБ ВОЕВОДА
207,Астория
818,Атака
948,Аталанта
1005,Атлант
27,Атлант-ВШМ
1008,Атлантис
156,Атлетик
1507,Атлетико Спб
964,Ашлештуш
1000,Байкал
810,Балтийская Промышленная Компания
230,Балтийские Берега 
290,БалтИнвестБанк
1268,БалтМетКом
503,Барракуда
564,Безопасные Технологии 
1249,Беркут
171,Бильдарт
1145,БИОКАД
1267,БиТ
1007,Битлис
1271,Благо
196,Бока Хуниорс
224,Боржоми
349,Бравые парни
393,Бродвей
986,Брусничный Шпэк
1383,Буба
1078,Бугры
1501,Бугры
1272,Буканерос
1220,Булки
232,Буран
954,Буратино
199,Бурундучки
1074,Ванкувер
1494,Вантовик
1213,Варяг
1439,ВАС
669,Василеостровец
1459,Вежливые
1444,Вежливые Люди
687,Велес
555,Великий Новгород
1482,Вепри
277,Вест Хэм
73,Ветеранов
128,Видео Сити
350,Видеоблокбастер
21,Винни Джонс
273,ВНИГРИ
371,ВНИИО
661,Возрождение
272,ВСЕГЕИ
996,ВСОЛ
1146,ВТБ
1491,Вулверхэмптон
1224,ВЧД
329,Вымпел
383,Вятич
110,Газпром-Медиа
390,ГеофизПоиск
691,Гипрогаз
373,Гипрошахт
158,Гистерезис
1468,Гловис
365,ГМА им.Макарова
998,Гражданка Сити
1265,Гражданка Юнайтед
72,Гранд Форвард
1554,Гранит
1498,Грифиндор
1469,ГрузовичкоФ
1274,Данул
608,Девятка
1160,Дежавю
234,Джи Класс
1161,Диаконт
962,Дикий Юго-Запад
967,Дикси
955,Диктатор
586,Дина
1500,Дина-2
1558,Динамит
1242,Динамо
216,Динамо-Урицк
659,Динамо-Урицк-2
1147,Для души
970,Драйв
226,Дрозды
157,Дружина
906,Дружная
203,Дюрекс
1269,Евразия
188,Ёлки
613,Журфак
645,Забивалы
340,Завод им. А.А. Кулакова
418,Загреб
1488,ЗАО
263,Звезда 2007
60,Зебра
950,ЗигЗаг-Питер
1079,ЗРТО
1381,ЗФК
630,ИВР
994,Измайловское
1490,Измерон
412,ИМИТ
1457,Иммигранты
292,Импульс-Vero
1400,Ингрия
1451,Индепендьенте
69,Инкаст
1082,Инкаст - Ювелирный Мир
565,ИНТЕР
1502,Интер-Каспий
1149,Интрига
177,Инферно
307,Искра
1516,Искра-Металлострой
75,Канонерец
1002,Карабах
663,Карелия
1436,Касабиан-2
984,Каскад
53,Каспий
977,Катеначчо
557,Кваттро
517,КВС
1471,Кипень
1484,Кировские парни
611,Кладезь
692,Клиника Кивач
379,КМС Нева-д
1495,Кобра
335,Колотив
985,Командарм
982,Коменда
284,Комендантский Синдикат
1486,Комета
387,Константиновское
5,Космос
1513,Коуч Бэнд
693,Кофе Хауз
47,Красненькая Речка
562,Красный Треугольник
331,Креатив
1231,Креатив-2
346,Кристалл Юнайтед
647,Крысиная Нора
189,Крюгер
992,Купчинская основа
952,Купчинские Педальки
214,Кураж
368,Курдистан
260,Лазерный Центр
915,Легенда
191,Легион
969,Легион Рыбацкое
987,Легион-Славянка
202,Ленинград
1013,Лесорубы
1386,Лестер
172,Лигово
92,Лидер
166,Лиерра
956,Линкор
1006,Лион
1470,Лол кек чебурек
1010,ЛомИнвест
221,ЛТех Спб
1492,ЛФК Академия
1475,ЛФК ВЕЛМАС
104,ЛФК Гранит
1067,ЛФК Детскосельский
1552,ЛФК Жигули
636,ЛФК Импульс СПб
975,ЛФК Кодес
425,ЛФК Котлин
695,ЛФК Красносельский
1293,ЛФК Легион
513,ЛФК Лидер
311,ЛФК Невский
1064,ЛФК Невский
1477,ЛФК Ника
963,ЛФК Овощебаза
1001,ЛФК Север
1270,ЛФК Стандарт
1004,ЛФК Техноложка
1219,ЛФК Торпедо
981,ЛФК Фаворит
901,ЛФК Элис
1218,ЛФК Эрон
612,Магистраль
1282,Майами
623,Малинки
1461,Манчестер Юнайтед
239,МарракеШ
1410,Меридиан
195,Меркурий
1445,Мерсисайд Рэд
995,Мечта
1262,Мечта Двора
275,Минерал
1435,Мираж
1077,МирныйЖитель
961,МО Константиновское
87,МО Урицк
1225,Молодежка
212,Молодежный совет
1511,Монкей энд
289,Монтана
231,Мончегорск
1553,Мопсы Бетмэна
194,Мотип
26,Мотор
364,Мотор ЮЗ
664,МТС
95,Нагорный
638,Надежда
637,НБ
635,НБ-2
103,НБЮ
90,НеАврора
359,Нева
641,Нева 99
907,Невская Стрела
10,Невские Берега
127,Невские Грифоны
341,НеРеал
912,Нива
676,Ниеншанц
546,Нижний Новгород
286,Ника
1285,Нитро
74,Новоселье
1286,Носта
683,НПК Групп
1472,О.Ч.Г. Дубль
646,О.Ч.Г. Насьональ
197,Оборонстрой
1081,Оккервиль
310,Олимп
299,Олимпийский Мишка
1478,ОЛИМПИК
175,Олимпик
685,Олимпия
391,Омега
1155,Омерзительная Восьмерка
1239,Омерзительный ШПЭК
258,Онега СПб
35,Ополчение
322,Оптима
813,ОфСайт
561,Пандора
1260,Папа Карло
1158,Парадайс
989,Паритет
606,Парк Победы
674,Паровоз
559,Патриоты
326,Пахтакор
1460,Пацанчики
1279,Первомаец
238,Перцы
633,Петро
237,Петроболт
417,Петробутса
914,Петроград
427,ПетроЭнерго
1154,Пешеход
123,Питерские Гризли
222,ПК Дыбенко
345,Поборемся
999,Полигон
8,Прайд
1246,Премьера
381,Престиж
1070,Прима-Фронт
242,Приморец
54,Приморец II
63,Прогресс-Кипень
660,Проект 381
330,Прометей 
217,Просвет
382,Профи Спорт
681,ПРОФИЛАБ
1483,ПФК
1485,ПФК Легион
1238,ПФК ПискарёвкаPride
919,Рабона
1499,Рабочая сила
358,Рагтаг
570,Радогор
1212,Ракета
920,Рапсодия
1387,РВТ-Ремонт
1159,Реал
572,Реал Питер
1385,Реал СПб
355,Ретроград
911,РМП групп
192,Родник
1227,РТА СПб
1549,Рубеж
306,Руска
1254,Русский Сектор
89,Русфан
48,Русфан Лайт
1150,Рыбацкий Фронт
1259,Салют
1390,Самарканд
947,Сан-Тропе
949,Санти
997,Сантьяго-де-Куба Кастилья
1496,Сапсан 09
1156,Свои Люди
971,Северная Каролина
229,Северная Столица
1162,Северные Львы
1452,Северный Легион
276,Севморгео
1281,Сейве
288,Селигер
46,СИАБ
1441,Сиверский Форт
990,Сильверс
473,Синие Стрелы
256,СИНТО
1493,СК СТАРТ
52,СКИФ
257,СКС
61,Славия
302,Содружество
348,Сокол
147,Солянка
268,Соник
76,Сосновая Поляна
190,София
917,СОЮЗ
266,Спальный Район 2
227,Спарта
228,Спартания
1234,Спартанцы
1294,Спартанцы-2
440,СПБ Лифтовой Завод
308,СПБ-Нефтепродукт
974,Спортивный Лев
210,СпортМаркетингГрупп
206,Спортяги
1489,Старая Гвардия
1463,СТОИК
66,Стрельна
169,Стрельна Сити
434,Строитель
173,Строительный трест
507,СтройСервис
338,Суприм
610,Суши Wok 
658,Суши Wok Drive United
1449,Суши Вок
988,Сыркинец
1144,Т-34
105,Тайфун
1416,Таксовичкоф
1167,ТВМИ
294,ТДМ-Юпитер
198,Тепломаш
1255,Терволово
686,Техас
167,Техника
770,ТехноИВР
57,Техноложка
271,ТехноТранс-Авто
1411,Тимсплэш
544,Тойота
1515,Торино
960,Торпеда
1415,"Торпедо (МО ""Купчино"")"
921,Торпедо-Малинки
968,Транснефть Балтика
689,Трансойл
126,Триумф
616,Триумф-КГНЦ
1075,Трон
959,Троя
1241,ТРЭЙД+
396,Турбик 
953,ТФК Зилант
1517,ТЦС
1275,Убытки
1433,Ультра
768,Уран 235
62,Урицк
404,Учебка
642,Фаворит-2
1487,Фавориты
628,Факел
91,Фандвиж Лигово
342,ФГУП Монетный Двор
65,Феникс
644,Финансовый Университет
85,Фишбург
1556,"ФК ""Рассвет"" "
993,ФК MILITARY
617,ФК UZ
361,ФК Авангард
182,ФК Автово
1280,ФК Автолига
1258,ФК Адмиралтеец
1143,Фк Аманат
1263,ФК Байкал
614,ФК Борщ
1391,ФК Васька
1276,ФК Герта
152,ФК Динамит
1157,ФК Динамит
679,ФК ДоЛ
1266,ФК Звездочки
291,ФК Капитан
1476,ФК Кипень
1458,ФК Котлин
672,ФК Кронос
6,ФК Легенда
1442,ФК Легион
694,ФК Лесной Формат
1557,ФК Лидер
1236,ФК ЛомИнвест
556,ФК Лютик
163,ФК МАРСА
267,ФК Меридиан
1289,ФК Нева
1069,ФК Нева
255,ФК Невоград
1065,ФК Невский
1466,ФК Ника
1506,ФК Олимпик
1214,ФК Парнас
1440,ФК Парус
1456,ФК Пацанчики
1243,ФК Пеньяроль
200,ФК Перегар
424,ФК ПетроСталь
386,ФК Покатаем
204,ФК Правда
1232,ФК Приморец
1163,ФК Приморский
1277,ФК Прогресс
300,ФК Реал
476,ФК Река
1437,ФК Рома
675,ФК Рубеж
1465,ФК Рюмка
607,ФК Связной
1453,ФК Серенгети
1450,ФК Смирнов
1257,ФК СОЮЗ
205,ФК Такси
1417,ФК Терволово
187,ФК Техас
1264,ФК Титан
1438,ФК ТОРИНО
125,ФК Ульянка
1222,ФК Феникс
1455,ФК Центр
479,ФК Шмель
362,ФК Штурм
1503,ФК Эластико
615,ФК Эра
1509,ФКР
211,Флагман
218,Фоксконн-Русс
463,Форвард
1505,Форель
666,Форрест
1244,Форт
1447,Фортком
1284,Форум
605,Фуллерен
1278,Фулхем
1011,Футбольный Петербург
240,ФФК
225,Халява
170,Хвойный
64,Хвойный Сити
181,Химик
979,Хочу Харчо
1443,ХФК Добряки
461,ЦГЭ-Ракурс
367,Цеппелин Русланд
814,ЦФиЗ
363,Челси
304,Чупа-Чупс
1245,Шахтер
978,Шеларс
1151,Шпэк 16
1448,Штурм
1388,ЭКЗОМЕНЮ
360,Экстрим
357,Элечо
983,Элис
353,Эль Локо
1164,Эльче
643,Эрстер
560,Эстрада
208,Эфком
58,Юго-Запад
904,Юго-Запад Classic
1497,Южный Берег
336,Южный Парк
88,ЮЗ
56,ЮЗ Юнайтед
233,Юнайтед
486,ЮНиТ
957,Юприм
407,ЯМАЛ
